                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     97,                0.52574,                0.34738,                0.82106,                0.98251,                0.99538,                  0.992,                0.87907,                0.53214,                0.32112,                0.82508,             0.00082351,             0.00082351,             0.00082351
                     98,                0.52887,                0.35817,                0.82304,                0.97482,                 0.9976,                0.99093,                0.88608,                0.51393,                0.33785,                0.82024,             0.00082261,             0.00082261,             0.00082261
                     99,                0.53801,                 0.3594,                 0.8375,                0.97528,                0.99808,                0.98789,                0.89224,                0.50561,                0.32152,                0.81499,             0.00082171,             0.00082171,             0.00082171
                    100,                0.51664,                0.36984,                0.83514,                0.98638,                 0.9953,                0.99314,                0.88452,                0.52944,                0.31858,                0.82063,             0.00082081,             0.00082081,             0.00082081
                    101,                0.51147,                0.34619,                0.81999,                0.98561,                 0.9945,                  0.995,                0.89378,                0.53048,                0.32195,                0.82088,             0.00081991,             0.00081991,             0.00081991
                    102,                0.53271,                0.35953,                0.83172,                0.98673,                0.99491,                0.99464,                0.88367,                0.52761,                0.31565,                0.81955,             0.00081901,             0.00081901,             0.00081901
                    103,                 0.5525,                0.38424,                0.85254,                0.97668,                0.98797,                0.99077,                0.88352,                0.52405,                0.34304,                0.82923,             0.00081811,             0.00081811,             0.00081811
                    104,                0.52542,                0.35052,                0.82109,                0.98389,                0.99415,                0.99429,                0.89099,                0.52443,                0.31401,                0.82346,             0.00081721,             0.00081721,             0.00081721
                    105,                0.50161,                0.34272,                0.82037,                0.98337,                0.99367,                0.99014,                0.88288,                0.53497,                0.30743,                0.82567,             0.00081631,             0.00081631,             0.00081631
                    106,                0.52353,                0.34261,                0.82519,                 0.9871,                  0.995,                0.99429,                 0.8863,                0.53334,                0.30712,                0.82321,             0.00081541,             0.00081541,             0.00081541
                    107,                0.52298,                0.35262,                0.81871,                0.98767,                0.99459,                0.98943,                0.87533,                0.54695,                0.31961,                0.83239,             0.00081451,             0.00081451,             0.00081451
                    108,                0.49353,                0.33517,                0.81757,                 0.9873,                0.99617,                0.98829,                0.87802,                0.51848,                0.31496,                0.82001,             0.00081361,             0.00081361,             0.00081361
                    109,                0.49749,                0.33905,                0.82585,                0.98822,                0.99705,                0.98864,                0.88346,                0.52183,                0.30299,                0.82074,             0.00081271,             0.00081271,             0.00081271
                    110,                0.50717,                0.35988,                0.81955,                0.98534,                0.99996,                0.99429,                0.89482,                0.51255,                0.31647,                 0.8169,             0.00081181,             0.00081181,             0.00081181
                    111,                0.51395,                0.35335,                  0.825,                0.99256,                0.99912,                  0.995,                0.88736,                0.53319,                0.31362,                0.82263,             0.00081091,             0.00081091,             0.00081091
                    112,                0.52293,                0.34468,                0.82645,                0.98878,                      1,                  0.995,                0.88671,                0.51841,                0.31138,                0.81958,             0.00081001,             0.00081001,             0.00081001
                    113,                0.50327,                0.34362,                0.82432,                0.99055,                 0.9917,                  0.995,                0.87761,                0.54176,                0.30623,                0.82743,             0.00080911,             0.00080911,             0.00080911
                    114,                  0.516,                 0.3475,                0.81525,                0.98984,                0.99748,                  0.995,                0.88637,                0.52239,                0.30535,                0.81887,             0.00080821,             0.00080821,             0.00080821
                    115,                0.50889,                0.33655,                0.82568,                0.98336,                0.99883,                0.99464,                0.89339,                0.52281,                0.31173,                0.81825,             0.00080731,             0.00080731,             0.00080731
                    116,                0.50069,                0.33621,                0.81236,                0.98304,                0.99118,                  0.995,                0.89269,                0.52579,                0.31118,                0.82105,             0.00080641,             0.00080641,             0.00080641
                    117,                0.49545,                0.32778,                0.82043,                0.98967,                0.98795,                  0.995,                0.88574,                0.52584,                0.30496,                0.82389,             0.00080551,             0.00080551,             0.00080551
                    118,                0.50787,                0.33733,                0.81603,                0.98848,                 0.9954,                  0.995,                0.89325,                0.51949,                0.30474,                0.81953,             0.00080461,             0.00080461,             0.00080461
                    119,                0.53134,                0.34023,                0.83855,                0.98642,                 0.9942,                  0.995,                0.89241,                0.51496,                0.30087,                0.81611,             0.00080371,             0.00080371,             0.00080371
                    120,                0.50855,                0.32802,                0.82523,                0.99398,                 0.9942,                  0.995,                0.89572,                 0.5209,                0.29741,                0.82115,             0.00080281,             0.00080281,             0.00080281
                    121,                0.50717,                0.32522,                0.82015,                0.98854,                0.99385,                0.99393,                 0.8945,                0.51535,                0.29526,                0.81862,             0.00080191,             0.00080191,             0.00080191
                    122,                0.51787,                 0.3303,                0.81676,                 0.9884,                0.99487,                0.99393,                0.89821,                0.52707,                 0.3029,                0.82349,             0.00080101,             0.00080101,             0.00080101
                    123,                0.50918,                0.33923,                0.82831,                0.98877,                0.99492,                  0.995,                0.88905,                0.51649,                0.29719,                0.82075,             0.00080011,             0.00080011,             0.00080011
                    124,                0.51108,                0.33527,                0.82852,                0.98863,                0.99433,                0.98829,                0.87771,                0.53763,                0.30922,                0.82568,             0.00079921,             0.00079921,             0.00079921
                    125,                0.49531,                0.33876,                  0.823,                0.98811,                0.99568,                  0.989,                0.88503,                0.53314,                0.30257,                0.82467,             0.00079831,             0.00079831,             0.00079831
                    126,                0.51061,                 0.3222,                0.82338,                0.98652,                0.99471,                0.98789,                0.88323,                0.52104,                0.31271,                0.82345,             0.00079741,             0.00079741,             0.00079741
                    127,                0.52071,                0.41318,                0.83724,                0.98425,                      1,                0.98864,                0.88858,                0.52219,                0.30369,                0.82007,             0.00079651,             0.00079651,             0.00079651
                    128,                0.50105,                0.32685,                0.82901,                0.98583,                0.99598,                  0.989,                0.88891,                0.51293,                0.29257,                0.81851,             0.00079561,             0.00079561,             0.00079561
                    129,                0.48992,                0.32332,                 0.8211,                0.98493,                0.99589,                0.98864,                0.88069,                0.51933,                0.30844,                0.81897,             0.00079471,             0.00079471,             0.00079471
                    130,                0.52612,                0.34519,                0.84674,                 0.9867,                0.99638,                0.99093,                0.88808,                0.52813,                0.30908,                0.82025,             0.00079381,             0.00079381,             0.00079381
                    131,                0.50873,                0.33287,                0.81404,                0.98882,                0.99477,                  0.995,                0.89621,                 0.5249,                 0.2979,                0.81969,             0.00079291,             0.00079291,             0.00079291
                    132,                0.48351,                0.32375,                0.81311,                0.98779,                 0.9955,                0.99429,                 0.8953,                0.52536,                0.29563,                0.81654,             0.00079201,             0.00079201,             0.00079201
                    133,                0.48885,                0.31911,                0.81822,                0.96854,                0.99425,                0.98938,                0.89035,                0.50906,                0.30572,                0.81717,             0.00079111,             0.00079111,             0.00079111
                    134,                0.50945,                0.33221,                0.82561,                0.98405,                 0.9943,                  0.992,                0.89229,                0.52705,                 0.3135,                0.82159,             0.00079021,             0.00079021,             0.00079021
                    135,                0.48413,                0.32051,                0.81046,                 0.9839,                 0.9953,                 0.9935,                0.89973,                0.52355,                0.31161,                0.81904,             0.00078931,             0.00078931,             0.00078931
                    136,                0.49438,                0.32033,                0.81343,                0.98343,                0.99796,                  0.992,                0.88732,                0.54481,                0.30115,                0.82439,             0.00078841,             0.00078841,             0.00078841
                    137,                 0.5047,                0.31808,                0.82678,                0.98469,                0.99161,                0.99243,                0.88734,                0.52403,                0.29736,                0.82148,             0.00078751,             0.00078751,             0.00078751
                    138,                0.48889,                0.31847,                0.81859,                0.97807,                0.98973,                0.99464,                0.89659,                0.51235,                0.30383,                0.81814,             0.00078661,             0.00078661,             0.00078661
                    139,                0.48108,                0.31376,                0.81986,                0.97533,                0.99325,                0.99324,                0.89999,                0.51345,                0.30795,                 0.8208,             0.00078571,             0.00078571,             0.00078571
                    140,                0.47133,                 0.3147,                0.82174,                0.97971,                0.98813,                 0.9858,                0.88664,                0.53164,                 0.3195,                0.82399,             0.00078481,             0.00078481,             0.00078481
                    141,                0.47983,                0.31689,                0.82233,                0.98212,                0.98998,                0.99106,                0.87838,                0.54607,                0.30518,                0.82868,             0.00078391,             0.00078391,             0.00078391
                    142,                0.50718,                0.32183,                0.82424,                0.97363,                 0.9932,                0.98959,                0.87242,                0.56045,                0.32165,                0.83327,             0.00078301,             0.00078301,             0.00078301
                    143,                0.50097,                0.31983,                0.82562,                 0.9854,                 0.9874,                0.99429,                0.88441,                0.54548,                0.30837,                0.82759,             0.00078211,             0.00078211,             0.00078211
                    144,                0.48634,                0.30642,                0.81864,                0.98539,                0.98795,                  0.992,                0.88989,                 0.5246,                0.31092,                0.82047,             0.00078121,             0.00078121,             0.00078121
                    145,                0.51743,                0.32129,                0.82633,                0.98605,                0.98865,                0.99279,                0.88785,                0.52478,                0.30642,                0.82642,             0.00078031,             0.00078031,             0.00078031
                    146,                0.52862,                0.39341,                 0.8592,                0.97496,                 0.9903,                0.99129,                0.88499,                0.54589,                0.31885,                0.82472,             0.00077941,             0.00077941,             0.00077941
                    147,                0.48485,                 0.3153,                0.82325,                0.98574,                0.98903,                 0.9935,                0.89634,                0.51045,                 0.2931,                0.81446,             0.00077851,             0.00077851,             0.00077851
